id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage
PG36116,"Νόμοι και Επινομίς, Τόμος B",Plato,-428.0,-348.0,['el'],8.0,"{'State, The -- Early works to 1800', 'Political science -- Early works to 1800'}",Text,355.18,33300.0,0.9363663663663664
PG40150,Η Ευρώπη κατά τον 19ον αιώνα,"Karolides, Paulos",1849.0,1930.0,['el'],11.0,"{'History, Modern -- 19th century', 'Europe -- History -- 1789-1900'}",Text,186.32,15886.0,0.9331486843761803
PG27301,Συριανά Διηγήματα,"Rhoides, Emmanouel D.",1835.0,1904.0,['el'],19.0,"{'Greek fiction, Modern', 'Short stories'}",Text,504.49,44752.0,0.8855917053986414
PG35320,Το μυθιστόρημα του Τριστάνου και της Ιζόλδης,"Bédier, Joseph",1864.0,1938.0,['el'],43.0,"{'Tristan (Legendary character) -- Romances -- Adaptations', 'Arthurian romances -- Adaptations', 'Iseult (Legendary character) -- Romances -- Adaptations'}",Text,417.55,40789.0,0.9464561523940278
PG27429,Εκκλησιάζουσαι,Aristophanes,-450.0,-388.0,['el'],34.0,"{'Women -- Greece -- Athens -- Politics and government -- Drama', 'Comedies'}",Text,125.89,13179.0,0.906366188633432
PG42454,Πλουτάρχου Βίοι Παράλληλοι - Τόμος 1: Θησεύς - Ρωμύλος - Λυκούργος - Νουμάς,Plutarch,46.0,119.0,['el'],63.0,"{'Greece -- Biography -- Early works to 1800', 'Rome -- Biography -- Early works to 1800'}",Text,577.72,53509.0,0.8908221046926685
PG39251,Προμηθεύς Δεσμώτης,Aeschylus,-525.0,-456.0,['el'],52.0,"{'Prometheus (Greek deity) -- Drama', 'Mythology, Greek -- Drama'}",Text,99.27,9837.0,0.9260953542746773
PG30615,Ομήρου Οδύσσεια Τόμος Γ,Homer,-750.0,-650.0,['el'],16.0,"{'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'}",Text,233.43,24195.0,0.8942756767927258
PG36586,Παραμύθια της Χαλιμάς Τόμος 1: Ήτοι Διηγήσεις και Συβεβηκότα λίαν περίεργα  και ωραία Συνταχθέντα εις την Αραβικήν υπό του πολυμαθούς Δερβίς Αμπου Mπεκήρ Κατά την έκδοσιν της Βενετίας,,,,['el'],28.0,"{'Tales -- Arab countries', 'Fairy tales'}",Text,597.67,56367.0,0.9165114339950681
PG32179,Η βοσκοπούλα με τα μαργαριτάρια και άλλες μικρές ιστορίες,"Nirvanas, Paulos",1866.0,1937.0,['el'],18.0,"{'Fiction', 'Short stories, Greek'}",Text,235.98,23310.0,0.951909051909052
PG36845,Χριστουγεννιάτικα διηγήματα,"Papadiamantes, Alexandros",1851.0,1911.0,['el'],12.0,"{'Greek fiction, Modern', 'Short stories', 'Christmas stories'}",Text,270.21,25702.0,0.8793090031904132
PG36263,Αριστοτέλης Βαλαωρίτης,"Rhoides, Emmanouel D.",1835.0,1904.0,['el'],9.0,"{'Valaorites, Aristoteles, 1824-1879'}",Text,52.4,4531.0,0.8878834694327963
PG32305,"Σαικσπήρου Δράματα, Ο Βασιλιάς Ληρ","Shakespeare, William",1564.0,1616.0,['el'],13.0,"{'Inheritance and succession -- Drama', 'Fathers and daughters -- Drama', 'Kings and rulers -- Drama', 'Aging parents -- Drama', 'Tragedies', 'Lear, King (Legendary character) -- Drama', 'Britons -- Drama'}",Text,326.43,32948.0,0.8998118246934563
PG39536,Αγαμέμνων,Aeschylus,-525.0,-456.0,['el'],88.0,"{'Agamemnon, King of Mycenae (Mythological character) -- Drama'}",Text,118.11,12122.0,0.9324368916020459
PG37585,"Διηγήματα, Τόμος Γ","Moraitides, Alexandros",1850.0,1929.0,['el'],8.0,"{'Greek fiction, Modern', 'Short stories'}",Text,450.3,41049.0,0.8619698409218252
PG36622,"Χαλιμά, Τόμος 2: Εξακολούθησις των ιστοριών",,,,['el'],15.0,"{'Tales -- Arab countries', 'Fairy tales'}",Text,728.12,71209.0,0.9052788271145501
PG32386,Το συναξάρι του Παπά-Παρθένη κι' άλλες νησιώτικες ιστορίες,"Nirvanas, Paulos",1866.0,1937.0,['el'],11.0,"{'Greek fiction, Modern'}",Text,398.63,39999.0,0.9359733993349834
PG37395,"Διηγήματα, Τόμος Β","Moraitides, Alexandros",1850.0,1929.0,['el'],9.0,"{'Greek fiction, Modern', 'Short stories'}",Text,490.03,44978.0,0.867868735826404
PG34820,Πρωταγόρας,Plato,-428.0,-348.0,['el'],16.0,"{'Virtue -- Early works to 1800', 'Protagoras', 'Sophists (Greek philosophy)'}",Text,272.8,26272.0,0.9452649208282582
PG27895,"Μικρά Φυσικά, Τόμος Πρώτος",Aristotle,-384.0,-322.0,['el'],34.0,{'Psychology -- Early works to 1850'},Text,258.99,24777.0,0.940549703353917
PG34577,Έργα Ποιήματα - Πεζά Τόμος Δεύτερος,"Krystalles, Kostas",1868.0,1894.0,['el'],14.0,"{'Greek literature, Modern'}",Text,366.02,35336.0,0.8772639800769754
PG31402,Ευθύδημος,Plato,-428.0,-348.0,['el'],10.0,"{'Logic -- Early works to 1800', 'Philosophy, Ancient', 'Socrates, 470 BC-399 BC', 'Sophists (Greek philosophy)'}",Text,181.95,17594.0,0.9456064567466181
PG40329,Ο Γερμανικός Φιλελληνισμός,"Karolides, Paulos",1849.0,1930.0,['el'],8.0,"{'Philhellenism -- Germany', 'Greece -- History -- War of Independence, 1821-1829 -- Participation, German'}",Text,186.0,15799.0,0.8984745869991771
PG37816,Ηρωδιάς,"Flaubert, Gustave",1821.0,1880.0,['el'],15.0,"{'Salome (Biblical figure) -- Fiction', 'Herodias -- Fiction'}",Text,111.56,10255.0,0.8705997074597758
PG33709,Διηγήματα,"Vikelas, Demetrios",1835.0,1908.0,['el'],19.0,"{'Greek fiction, Modern', 'Short stories'}",Text,530.28,48682.0,0.8873505607822193
PG32741,Ποιήματα - Τόμος Πέμπτος - Φασουλής Φιλόσοφος,"Souris, Georgios",1853.0,1919.0,['el'],11.0,"{'Greek poetry, Modern'}",Text,119.0,11684.0,0.8951557685724068
PG27896,"Μικρά Φυσικά, Τόμος Δεύτερος",Aristotle,-384.0,-322.0,['el'],22.0,{'Psychology -- Early works to 1850'},Text,231.29,21891.0,0.9337627335434654
PG31797,Αμλέτος,"Shakespeare, William",1564.0,1616.0,['el'],30.0,"{'Revenge -- Drama', 'Princes -- Drama', ""Murder victims' families -- Drama"", 'Tragedies', 'Kings and rulers -- Succession -- Drama', 'Fathers -- Death -- Drama', 'Hamlet (Legendary character) -- Drama', 'Denmark -- Drama'}",Text,576.27,54976.0,0.8949905413271245
PG42516,Ύμνος εις την Αθηνά,"Palamas, Kostes",1859.0,1943.0,['el'],21.0,"{'Greek poetry, Modern'}",Text,49.91,4864.0,0.8992598684210527
PG42700,Πλουτάρχου Βίοι Παράλληλοι - Τόμος 3: Αλκιβιάδης - Κοριολάνος - Τιμολέων - Αιμίλιος Παύλος - Πελοπίδας - Μάρκελλος,Plutarch,46.0,119.0,['el'],28.0,"{'Greece -- Biography -- Early works to 1800', 'Rome -- Biography -- Early works to 1800'}",Text,836.4,75902.0,0.887222998076467
PG31401,Ο Άγιος Δημήτριος: Μυστήριον εις πράξεις 3,"Rodokanakes, Platon",1883.0,1919.0,['el'],14.0,{'Drama'},Text,136.04,13230.0,0.9254724111866969
PG31450,"Παραμύθια Δανικά, εκ των του Ανδερσεν","Vikelas, Demetrios",1835.0,1908.0,['el'],49.0,{'Fairy tales'},Text,134.92,13552.0,0.9001623376623377
PG34880,"Ιππίας, Μείζων και Ελάσσων",Plato,-428.0,-348.0,['el'],9.0,"{'Aesthetics', 'Dialogues, Greek', 'Philosophy, Ancient', 'Truthfulness and falsehood'}",Text,258.43,24041.0,0.9541200449232561
PG35453,"Τίμαιος, Τόμος Α",Plato,-428.0,-348.0,['el'],31.0,{'Cosmology -- Early works to 1800'},Text,333.93,31707.0,0.9342416501088088
PG31403,Απλοί Τρόποι,"Chatzopoulos, Kostantinos",1868.0,1920.0,['el'],13.0,"{'Greek literature, Modern'}",Text,71.48,7458.0,0.9442209707696433
PG31853,"Ποιήματα, Τόμος Δεύτερος, Ανέκδοτα","Souris, Georgios",1853.0,1919.0,['el'],19.0,"{'Greek poetry, Modern'}",Text,85.28,8754.0,0.922435458076308
PG37397,Ιστορίες αλλόκοτες,"Poe, Edgar Allan",1809.0,1849.0,['el'],47.0,"{'Horror tales', 'Short stories', 'Fiction'}",Text,382.54,34512.0,0.9035987482614742
